attributes.Ambience.divey	attributes.RestaurantsDelivery	attributes.DogsAllowed	postal_code	hours.Thursday	attributes.HairSpecializesIn.coloring	attributes.BestNights.sunday	attributes.BYOB	attributes.AgesAllowed	attributes.Music.video	hours.Friday	latitude	attributes.Alcohol	attributes.Ambience.classy	attributes.RestaurantsTableService	business_id	attributes.Ambience.touristy	attributes.RestaurantsCounterService	attributes.Corkage	attributes.RestaurantsGoodForGroups	categories	name	attributes.BusinessAcceptsBitcoin	attributes.HappyHour	attributes.WheelchairAccessible	attributes.Ambience.hipster	attributes.BusinessAcceptsCreditCards	is_open	attributes.DietaryRestrictions.vegetarian	attributes.Music.live	attributes.Music.background_music	neighborhood	attributes.BusinessParking.lot	attributes.Music.karaoke	review_count	attributes.GoodForMeal.breakfast	attributes.NoiseLevel	attributes.HairSpecializesIn.perms	state	attributes.DriveThru	attributes.HasTV	attributes.GoodForMeal.dinner	attributes.BusinessParking.street	address	attributes.RestaurantsAttire	hours.Sunday	attributes.BestNights.tuesday	attributes.AcceptsInsurance	attributes.BestNights.wednesday	hours.Wednesday	attributes.HairSpecializesIn.kids	attributes.Open24Hours	attributes.Ambience.trendy	attributes.CoatCheck	hours.Monday	attributes.HairSpecializesIn.straightperms	city	attributes.HairSpecializesIn.curly	attributes.Music.no_music	hours.Tuesday	attributes.HairSpecializesIn.africanamerican	stars	attributes.RestaurantsPriceRange2	attributes.Ambience.intimate	attributes.GoodForMeal.latenight	attributes.GoodForMeal.dessert	attributes.BusinessParking.validated	attributes.GoodForMeal.lunch	attributes.GoodForKids	attributes.DietaryRestrictions.soy-free	attributes.GoodForMeal.brunch	attributes.BusinessParking.valet	longitude	attributes.DietaryRestrictions.gluten-free	attributes.BYOBCorkage	attributes.BusinessParking.garage	attributes.BestNights.friday	hours.Saturday	attributes.Music.dj	attributes.HairSpecializesIn.extensions	attributes.BestNights.saturday	attributes.Ambience.casual	attributes.BestNights.thursday	attributes.BestNights.monday	attributes.HairSpecializesIn.asian	attributes.DietaryRestrictions.kosher	attributes.WiFi	attributes.Smoking	attributes.DietaryRestrictions.halal	attributes.GoodForDancing	attributes.ByAppointmentOnly	attributes.Caters	attributes.RestaurantsReservations	attributes.DietaryRestrictions.dairy-free	attributes.DietaryRestrictions.vegan	attributes.Ambience.romantic	attributes.Music.jukebox	attributes.Ambience.upscale	attributes.RestaurantsTakeOut	attributes.BikeParking	attributes.OutdoorSeating
			89135								36.1590984				N9BN9ldVl1FNzcB9_eAstw					[u'Bowling', u'Active Life']	Red Rock Bowling UYE Part 2					True	1				Summerlin	False		13				NV				False	11022 W Charleston Blvd													Las Vegas					4.5					False		True			False	-115.3379148			True																								True	
			85258	10:00-18:00	False					9:00-19:00	33.5704213907				6s3z3TlpHOIecuSyPEOp7A					"[u'Barbers', u""Men's Hair Salons"", u'Hair Removal', u'Waxing', u'Beauty & Spas', u'Hair Salons']"	Sq Cutz			True		True	0					True		7			False	AZ				False	9393 N 90th St, Ste 112						10:00-18:00	False				10:00-18:00	False	Scottsdale	False		10:00-18:00	False	4.5	2				False					False	-111.886491962			False		9:00-18:00		False					False						False									True	
	False		85209	5:00-0:00						5:00-0:00	33.3774281068				n33Izvzk_z9_51H6NsQF-A					[u'Flowers & Gifts', u'Bakeries', u'Grocery', u'Shopping', u'Food', u'Florists']	Safeway					True	1					True		21				AZ				False	9101 E Baseline Rd		5:00-0:00				5:00-0:00					5:00-0:00		Mesa			5:00-0:00		2.0	2				False					False	-111.638108311			False		5:00-0:00														True							True	True	
			85323	8:00-17:00						8:00-17:00	33.431335				m06OZRFTaKKi6U0omfLq4g					[u'Landscape Architects', u'Home & Garden', u'Irrigation', u'Shopping', u'Home Services', u'Artificial Turf', u'Nurseries & Gardening', u'Gardeners', u'Landscaping', u'Contractors']	Artificial Grass Masters	False				True	1							41				AZ					12417 W Pima St						8:00-17:00					8:00-17:00		Avondale			8:00-17:00		4.5											-112.325863					9:00-15:00													True										
False	False		28105	11:00-0:00					False	11:00-1:00	35.135196	full_bar	False	False	SDMRxmcKPNt1AHPBKqO64Q	False			True	[u'Burgers', u'Bars', u'Restaurants', u'Sports Bars', u'Nightlife', u'American (Traditional)']	Applebee's		True		False	True	1		False	False		False	False	21	False	average		NC	False	True	False	False	9616 E Independence Blvd	casual	11:00-0:00				11:00-0:00			False	False	11:00-0:00		Matthews		False	11:00-0:00		2.0	2	False	False	False	False	True	True		False	False	-80.7146829			False		11:00-1:00	False			False					free			False		False	False			False	False	False	True	True	False
			28164	11:30-22:00						11:30-22:30	35.3550853	none			iFEiMJoEqyB9O8OUNSdLzA					[u'Chinese', u'Restaurants']	China Garden						1							3				NC					190 E Dallas Rd	casual	11:30-22:00				11:30-22:00					11:30-22:00		Stanley			11:30-22:00		3.0											-81.0872676					11:30-22:30																							False
			85210	7:00-19:00						7:00-19:00	33.4132187				qrAHt4wWRYWj1sEjxq574A					[u'Contractors', u'Roofing', u'Home Services']	Beach Ventures Roofing					True	1							3				AZ					62 S Ctr						7:00-19:00					7:00-19:00		Mesa			7:00-19:00		3.5											-111.8314886					9:00-12:00													True										
			44121	8:30-18:00						8:30-18:00	41.5018198				jqp5TibmgJZVFKHTp3XfqQ					[u'Car Wash', u'Automotive', u'Auto Detailing']	Alpaul Automobile Wash					True	1							25				OH					2128 Warrensville Ctr Rd		15:00-18:00				8:30-18:00					8:30-18:00		Cleveland			8:30-18:00		3.0											-81.536776					8:30-18:00																							
	False		44114	9:00-20:00						9:00-20:00	41.5094078				1cLXGXThDYZ5WK_KpBLtkw					[u'Food', u'Bakeries', u'Coffee & Tea']	Koko Bakery			True		True	1				Goodrich Kirtland	True		162				OH				False	3710 Payne Ave		9:00-20:00				9:00-20:00					9:00-20:00		Cleveland					4.0	1				False					False	-81.6621618			False		9:00-20:00									free					True							True	True	False
			89123	10:00-19:00						10:00-19:00	36.0404133				BmSJ6C7Y9s3tHotRetVbmA					[u'Financial Services', u'Banks & Credit Unions']	U.S. Bank						1				Southeast			3				NV					2385 E Windmill Ln		12:00-16:00				10:00-19:00					10:00-19:00		Las Vegas			10:00-19:00		3.5											-115.119104					10:00-16:00																							
			28134	8:00-18:00						8:00-18:00	35.089534				Av-ODv7-hV12If005Pj6wA					[u'Automotive', u'Auto Repair', u'Tires', u'Oil Change Stations']	Precision Tune Auto Care					True	1							14				NC					10515 B Centrum Parkway						8:00-18:00					8:00-18:00		Pineville			8:00-18:00		3.0											-80.876679					8:00-17:00																							
True	False		15224	8:00-12:00							40.4613503	none	False	True	HmI9nhgOkrXlUr6KZGZZew	False			False	[u'Sandwiches', u'Restaurants', u'Italian', u'Diners', u'Breakfast & Brunch', u'Mexican']	Rocky's				False	True	1				Bloomfield	False		15	True	loud		PA		False	False	True	4759 Liberty Ave	casual	8:00-12:00							False				Pittsburgh			8:00-12:00		3.0	1	False	False	False	False	False	True		False	False	-79.9481126			False		8:00-12:00				False					no					False	False			False		False	True	True	False
	False		L5W 0E6								43.6392362				qnpvw-uQyRn9nlClWFK9aA				True	[u'Chicken Wings', u'Restaurants']	Wild Wing					True	1				Meadowvale Village			6		average		ON		True			7070 Saint Barbara Boulevard	casual												Mississauga					2.5	2						True				-79.716199														free						True						True		True
			85234								33.3702018				igcy3ojJbgbpS8K70gvFQg					[u'Life Coach', u'Health & Medical', u'Professional Services', u'Reiki', u'Naturopathic/Holistic', u'Hypnosis/Hypnotherapy', u'Counseling & Mental Health', u'Doctors']	Direct Mindpower						1							33				AZ					1111 N Gilbert Rd, Ste 212A													Gilbert					5.0											-111.7894471																		True										
			85209	8:00-17:00						8:00-17:00	33.3778915405				5Ghe0btvM7tXqANnhNB5eg					[u'Advertising', u'Marketing', u'Professional Services', u'Local Services', u'Business Consulting']	Premiere Social Media						1							8				AZ							8:00-17:00				8:00-17:00					8:00-17:00		Mesa			8:00-17:00		5.0											-111.635017395					8:00-17:00																							
		False	EH1 3AT	12:00-1:00		False			False	12:00-1:00	55.9544861402	full_bar	False		vvB8ebrUsjfNqwWjk4G4OQ	False			True	[u'Pubs', u'Nightlife', u'Bars']	Black Bull Tavern		False	False	False	True	1		False	False		False	False	14		loud		EDH		True		False	43 Leith Street		12:30-1:00	False		False	12:00-1:00			False	False	12:00-1:00		Edinburgh		False	12:00-1:00		4.0	2	False								False	-3.1871370799			False	False	12:00-1:00	False		True	False	False	False				outdoor		False						False	True	False		True	False
			M5S 3H3								43.6636694				l9ABoPi9j_pH9588tk0-6w					[u'Arts & Entertainment', u'Performing Arts']	Hart House Theatre						1				University of Toronto			8				ON					7 Hart House Circle													Toronto					4.0							True				-79.3946869																												
			H2X 3K4	12:00-21:00						12:00-21:00	45.5152786				eW9vw2fE_6EuTWErZRo3mQ					[u'Toy Stores', u'Hobby Shops', u'Shopping']	Chez Geeks Hobby Gaming Store					True	1				Ville-Marie	False		3				QC				True	1663 St-Denis		12:00-17:00				12:00-21:00					12:00-21:00		Montréal			12:00-21:00		4.0	2				False					False	-73.5635483			False		12:00-17:00																						True	
			15206	9:00-21:00						9:00-21:00	40.4602389				ZFGYEsHFo6G4KtlTpYmMRQ					"[u""Men's Hair Salons"", u'Hair Stylists', u'Beauty & Spas', u'Hair Salons']"	Great Clips					True	1				Shadyside	False		10				PA				True	6021 Centre Ave		10:00-17:00				9:00-21:00					9:00-21:00		Pittsburgh			9:00-21:00		3.5	1				False		True			False	-79.9246243			False		9:00-18:00													False									True	
			85254	10:00-20:00						10:00-20:00	33.623655				ATsUb_sLzDSZkIoBdoO_mg					[u'Home Services', u'Shades & Blinds']	The Shade Store®					True	1							11				AZ					15323 N. Scottsdale Rd, Ste 110		12:00-18:00				10:00-20:00					10:00-20:00		Scottsdale			10:00-20:00		3.5											-111.925137					10:00-20:00													False										
			44116	10:00-19:00						10:00-19:00	41.459468				-PtTGvWsckUL8tTutHr6Ew					[u'Beauty & Spas', u'Hair Salons']	Snip-its Rocky River					True	1					True		18				OH				False	21609 Center Ridge Rd		10:00-16:00				10:00-19:00					10:00-19:00		Rocky River			10:00-19:00		2.5	3				False		True			False	-81.8587383			False		9:00-17:30													False										
False	False		53704	11:00-22:00						11:00-23:00	43.128034	full_bar	False	True	TXiEgINSZ75d3EtvLvkc4Q	False			True	[u'Restaurants', u'Seafood', u'American (Traditional)']	Red Lobster			True	False	True	1					True		45	False	average		WI		True	True	False	4502 East Towne Blvd	casual	11:00-22:00				11:00-22:00			False		11:00-22:00		Madison			11:00-22:00		3.0	2	False	False	False	False	False	True		False	False	-89.307157			False		11:00-23:00				True					no					False	True			False		False	True	True	False
	False		L1V 1V9								43.8343514	full_bar	False	True	KW4y7uDGjVfU3ClkEjIGhg	False			True	[u'Burgers', u'Restaurants']	The Works				False	True	1					True		41	False	average		ON	False	False	True	False	1794 Liverpool Road	casual								False				Pickering					3.0	2	False	False	False	False	True	True		False	False	-79.0901353			False						True					no					False	True			False		False	True	True	False
			85204	8:00-17:00						8:00-17:00	33.3891805				s_6WYPw3t50el2fSuh9k8w					[u'Local Services', u'Health & Medical', u'Community Service/Non-Profit', u'Hiking', u'Behavior Analysts', u'Active Life', u'Counseling & Mental Health']	Anasazi Foundation						1							9				AZ					1424 S Stapley Dr						8:00-17:00					8:00-17:00		Mesa			8:00-17:00		4.5							True				-111.8058306																		True										
	False		L4B 4L9	11:00-0:00		False			False	11:00-1:00	43.8419930049	full_bar	False	True	reWc1g65PNZnKz_Ub9QKOQ	False			True	[u'Comfort Food', u'Canadian (New)', u'Restaurants', u'Bars', u'Nightlife', u'American (Traditional)']	Milestones Restaurants		True		False	True	1		False	False		False	False	51	False	average		ON		True	False	True	30 High Tech Rd	casual	10:00-23:00	False		False	11:00-0:00			True	False	11:00-23:00		Richmond Hill		False	11:00-23:00		2.5	2	False	False	True	False	False	True		True	False	-79.4293430602			False	False	10:00-1:00	False		True	True	False	False			free	no		False		False	True			False	False	False	True	True	True
	False		L4B 3Z1								43.8434745276	none	False		L1XHTn7S-6har9UGAPjcWQ	False			True	[u'Taiwanese', u'Food', u'Coffee & Tea', u'Restaurants']	Papa Chang's Tea Bistro				False		1							4	False			ON		True	False		280 W Beaver Creek Road, Unit 30	casual								False				Richmond Hill					4.0	2	False	False	False		False	True		False		-79.3876864761									False					no						False			False		False	True		False
False	False		53562	11:00-23:00		False	False		False	11:00-0:00	43.097806	full_bar	False	True	PV9CdNFDOX4_zWm3Sy3W8g	False			True	[u'Burgers', u'Chicken Wings', u'Bars', u'Restaurants', u'American (Traditional)', u'Nightlife']	Quaker Steak & Lube		True	True	False	True	1		False	False		True	False	117	False	average		WI	True	True	True	True	2259 Deming Way	casual	10:00-22:00	True		False	11:00-23:00			False	False	11:00-23:00		Middleton		False	11:00-23:00		3.0	2	False	False	False	False	False	True		False	False	-89.519217		no	False	False	10:00-0:00	False		False	True	True	False			free	outdoor		False		True	True			False	False	False	True	True	True
			44122	10:00-21:00						10:00-21:00	41.4994869262				8E5l83iGubQmtivb24TL_Q					"[u'Fashion', u'Shoe Stores', u'Jewelry', u'Accessories', u""Women's Clothing"", u'Shopping', u""Men's Clothing"", u'Department Stores']"	Saks Fifth Avenue					True	1					False		25				OH				False	26100 Cedar Rd		12:00-18:00				10:00-21:00					10:00-21:00		Beachwood			10:00-21:00		3.0	3				False					False	-81.4941790329			False		10:00-21:00																						True	
	False		M4L 2B5	14:00-2:00		False				14:00-2:00	43.6780488	full_bar			qim0lD112TkDhm8ZyQlRnA				False	[u'Pubs', u'Restaurants', u'Bars', u'Irish', u'Nightlife']	McCarthy's Irish Pub						0				Upper Beach	False		5				ON		True		False	1801 Gerrard Street E	casual	14:00-2:00	False		False	14:00-2:00				False	14:00-2:00		Toronto			14:00-2:00		4.0	1				False		False			False	-79.3147736			False	True	14:00-2:00			False		False	True				outdoor					False								
			89103	10:00-0:00						10:00-0:00	36.115465				xmY0pzNvZKEzuN0XEqeV5w					[u'Massage', u'Beauty & Spas', u'Reflexology', u'Health & Medical']	QQ Foot Spa			False		True	1					False		20				NV				False	6162 W Flamingo Rd		10:00-0:00		False		10:00-0:00					10:00-0:00		Las Vegas			10:00-0:00		4.5	1				False					False	-115.226764			False		10:00-0:00													False									True	
			89103	7:30-17:00						7:30-17:00	36.115074				aj1C0D7hniEPpsTidbCQIg					[u'Auto Insurance', u'Body Shops', u'Auto Repair', u'Insurance', u'Automotive', u'Financial Services']	Express Collision Center					True	1							54				NV					4755 W Flamingo Rd						7:30-17:00					7:30-17:00		Las Vegas			7:30-17:00		5.0											-115.2056																												
			85021	8:00-18:00						8:00-18:00	33.5552131				9tIYh_c2Yynt2N65epRJ1w					[u'Local Services', u'Shipping Centers', u'Printing Services', u'Public Services & Government', u'Notaries', u'Post Offices']	The UPS Store					True	1							9				AZ					8050 N 19th Ave		11:00-15:00				8:00-18:00					8:00-18:00		Phoenix			8:00-18:00		3.0											-112.1005387					9:00-17:00																							
False	True		85225	10:00-1:00						10:00-2:00	33.3350578	none	False	False	HRFJlSAP_EBU_MpPPmpUDQ	False			False	[u'Chicken Wings', u'Sandwiches', u'Restaurants', u'Pizza']	Domino's Pizza				False	True	1					False		20	False	quiet		AZ		False	False	False	25 W Warner Rd	casual	10:00-1:00				10:00-1:00			False		10:00-1:00		Chandler			10:00-1:00		2.5	1	False	False	False	False	True	True		False	False	-111.8430762			False		10:00-2:00				False					no					False	False			False		False	True	False	False
			L1S 2C8	9:00-21:00						9:00-18:00	43.8443653				5-7EItFT0a7SOlpjwE39_g					[u'Automotive', u'Car Dealers', u'Auto Repair']	Sisley Hyundai						0							3				ON					170 Westney Road S						9:00-21:00					9:00-21:00		Ajax			9:00-21:00		2.5											-79.0381421					9:00-18:00																							
	False		M6H 3Z5								43.6624007				kEq7eudoX5qdcaSLAq3axw					[u'Bakeries', u'Food']	Paris Bakery & Pastry					False	1				Wallace Emerson	False		16				ON				True	654 Lansdowne Ave													Toronto					3.0	1				False					False	-79.444706			False																							True	True	
			M6A 3B4								43.7166569				UZShf6G75npKCCjiHsf46Q					[u'Food', u'Grocery']	Fortinos Supermarket					True	1					True		9				ON				False	700 Lawrence Ave W													North York					3.5	2				False					False	-79.4472576			False																							True	True	
			85085	6:00-21:00						6:00-21:00	33.7123683				4irpCt5a5Sa72kIGyTmJ1Q					[u'Home & Garden', u'Hardware Stores', u'Appliances', u'Home Services', u'Home Decor', u'Building Supplies', u'Shopping']	Lowe's Home Improvement					True	1					False		29				AZ				False	2501 W Happy Valley Rd, Bldg 40		8:00-20:00				6:00-21:00					6:00-21:00		Phoenix			6:00-21:00		3.5	2				False					False	-112.1096688			False		6:00-21:00													False									True	
			44130	8:00-20:00						8:00-18:00	41.3830675				KhPCS4OAr9po5hMtFhDvmg					[u'Oil Change Stations', u'Auto Repair', u'Automotive', u'Tires', u'Motorcycle Repair']	Rad Air Complete Car Care and Tire Centers					True	1							3				OH					6565 Pearl Rd						8:00-18:00					8:00-20:00		Parma Heights			8:00-18:00		3.5											-81.7760369					8:00-12:00																							
			89134	9:00-17:00						9:00-18:00	36.206763				45arahaS6jTtYBw_STLDXg					[u'Financial Services', u'Banks & Credit Unions']	Wells Fargo Bank						1				Summerlin			4				NV					9410 W Lake Mead Blvd						9:00-17:00					9:00-17:00		Las Vegas			9:00-17:00		2.5											-115.3007233					10:00-14:00																							
			15136	10:00-21:00	True					10:00-17:00	40.4696929				L2fkc0j8rkEXc1bMO8-uGQ					[u'Skin Care', u'Hair Salons', u'Beauty & Spas', u'Hair Removal', u'Waxing', u'Nail Salons', u'Massage']	Bella Christine Salon and Spa			True		True	1					True		3			True	PA				False	1227 Silver Ln						10:00-21:00	False					True	Mc Kees Rocks	True		10:00-21:00	False	4.5					False					False	-80.1365374			False		9:15-16:00		True					False						True										
False	False		85226	11:00-21:00						11:00-22:00	33.3187306943		False	True	FLTbKRmBytP1AbjWSPEeyw	False			True	[u'Restaurants', u'Chinese']	Szechuan Cuisine				False	True	0					False		16	False	quiet		AZ		True	True	False	5865 W Ray Rd	casual	11:00-21:00				11:00-21:00			False		11:00-21:00		Chandler			11:00-21:00		4.0	1	False	False	False	False	True	True		False	False	-111.943387985			False		11:00-22:00				True										True	True			False		False	True		False
False			85226	11:00-0:00		False			False	11:00-2:00	33.3162778	full_bar	False		1AxEmgv8Dsr3iU9Aa40jPw	False			True	[u'Nightlife', u'Restaurants', u'Bars']	Nabers Music, Bar & Eats		True		False	True	0		True	False		True	False	75		average		AZ		True		False	825 N 54th St		11:00-0:00	False		True	11:00-0:00			False	False	11:00-0:00		Chandler		False	11:00-0:00		4.0	2	False			False					False	-111.9680183			False	True	11:00-2:00	False		True	True	False	False				outdoor		True						False	False	False		True	True
			EH3 9QB								55.9432066	full_bar			LLNmo66wO1xoi-yma1HybA					[u'Bars', u'Pubs', u'Nightlife', u'Food']	Hyde Out		False	True		True	0				West End	False		6				EDH				False	2 Fountainbridge Square										False			Edinburgh					3.0	2									False	-3.2078002			False																									True
	True		M3J 2G5								43.7635097	beer_and_wine	False	True	Wf5C8Amv_SlhoYE3_W66WQ	False			True	[u'Asian Fusion', u'Restaurants', u'Sushi Bars']	Oishi Sushi				False	True	0					True		27	False	very_loud		ON		False	True	False	1325 Finch Ave W	casual								False				Toronto					2.0	2	False	False	False	False	False	True		False	False	-79.4907499			False						True					no					False	True			False		False	True	False	False
	False		H2Y 2E5	7:00-19:30						7:00-19:30	45.4994089298	full_bar	False	True	58APdML-PG_OD4El2ePTvw	False			True	[u'Restaurants', u'Specialty Food', u'French', u'Breakfast & Brunch', u'Food', u'Delicatessen']	Le Cartet			False	False	True	1				Ville-Marie	False		344	True	average		QC		False	False	True	106 Rue McGill	casual	9:00-16:00				7:00-19:30			True		7:00-19:30		Montréal			7:00-19:30		4.0	2	False	False	False	False	False	True		True	False	-73.5552000962			False		9:00-16:00				False					free					False	False			False		False	True	True	False
		True	M4W 3L6	8:00-16:00						8:00-16:00	43.6630096	full_bar	False		Z1r6b30Tg0n0ME4-Zj2wQQ	False			True	[u'American (Traditional)', u'Restaurants', u'Bars', u'Pubs', u'Beer', u'Wine & Spirits', u'Food', u'Nightlife']	Boardwalk Place		False		False	True	1							13		average		ON		True			1675 Lake Shore Boulevard E		8:00-16:00				8:00-16:00			False		8:00-16:00		Toronto			8:00-16:00		3.0	2	False									-79.3108978					8:00-16:00				True								False			True			False		False		True	True
			61820								40.0940675				-2q4dnUw0gGJniGW2aPamQ				True	[u'Restaurants', u'Mexican']	Fiesta Ranchera						0							4	False	quiet		IL			False		1805 S Neil St													Champaign					2.0			False	False		False			False		-88.2457853																												
			61820								40.112407				6WMSw48PHoHboOG33R8OJw					[u'Property Management', u'Real Estate', u'Apartments', u'Home Services']	Professional Property Management					False	1							10				IL					401 E Springfield Ave													Champaign					1.5											-88.233285																		False										
False	False		89030	9:00-23:00						9:00-23:00	36.1962026	none	False	True	LDMCrFlGIFUN6L-FEFgzWg	False			True	[u'Restaurants', u'American (Traditional)', u'Mexican', u'Fast Food']	El Pollo Loco				False	True	1					False		12	False	average		NV	True	False	False	False	2400 E Lake Mead Blvd	casual	9:00-23:00				9:00-23:00			False		9:00-23:00		Las Vegas			9:00-23:00		3.0	1	False	False	False	False	False	True		False	False	-115.1167987			False		9:00-23:00				False					no					True	False			False		False	True	False	False
	False		EH2 2YZ	9:30-19:00						9:30-18:00	55.9502678	beer_and_wine	False	True	cBHMUESPj4SNs65Xv6xWRA	False			True	[u'Food', u'Shopping', u'Grocery', u'Delis', u'Gift Shops', u'Coffee & Tea', u'Flowers & Gifts', u'Restaurants']	Valvona & Crolla			True	False		1				New Town	False		60	True	quiet		EDH		False	False	True	19 Elm Row	casual	10:00-17:30				9:30-18:00			False		9:30-18:00		Edinburgh			9:30-18:00		4.0	2	False	False	False		True	True		True	False	-3.2071145			False		9:00-18:00				True					free						True			False		False	True	True	False
